"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"4002","1195","BMW","ISCO","3.0","TOC",1,27.45,"mg/L","2.0",2021-07-31,2021-07-31,1899-12-31 02:12:00,"flood",NA,"GEL",NA,NA,NA
"4003","1866","SS","GRAB",NA,"TOC",1,1.708,"mg/L","5.0",NA,2022-05-18,1899-12-31 08:30:00,"baseflow","Lability T0","GEL",NA,NA,NA
"4004","1866","SS","GRAB",NA,"TOC",1,1.98,"mg/L","6.0",NA,2022-05-18,1899-12-31 08:30:00,"baseflow","Lability T0","GEL",NA,NA,NA
"4005","1867","BMW","GRAB",NA,"TOC",1,2.346,"mg/L","5.0",NA,2022-05-18,1899-12-31 10:15:00,"baseflow","Lability T0","GEL",NA,NA,NA
"4006","1867","BMW","GRAB",NA,"TOC",1,2.254,"mg/L","6.0",NA,2022-05-18,1899-12-31 10:15:00,"baseflow","Lability T0","GEL",NA,NA,NA
"4007","451","SS","ISCO","5.0","TOC",1,6.669,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 03:58:00,"flood",NA,"GEL",NA,NA,NA
"4008","451","SS","ISCO","5.0","TOC",1,6.324,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 03:58:00,"flood",NA,"GEL",NA,NA,NA
"4009","452","SS","ISCO","6.0","TOC",1,6.825,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 04:13:00,"flood",NA,"GEL",NA,NA,NA
"4010","452","SS","ISCO","6.0","TOC",1,6.706,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 04:13:00,"flood",NA,"GEL",NA,NA,NA
"4011","453","SS","ISCO","7.0","TOC",1,6.94,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 04:28:00,"flood",NA,"GEL",NA,NA,NA
"4012","453","SS","ISCO","7.0","TOC",1,7.683,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 04:28:00,"flood",NA,"GEL",NA,NA,NA
"4013","454","SS","ISCO","8.0","TOC",1,7.136,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 04:43:00,"flood",NA,"GEL",NA,NA,NA
"4014","454","SS","ISCO","8.0","TOC",1,7.078,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 04:43:00,"flood",NA,"GEL",NA,NA,NA
"4015","455","SS","ISCO","9.0","TOC",1,7.303,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 04:58:00,"flood",NA,"GEL",NA,NA,NA
"4016","455","SS","ISCO","9.0","TOC",1,7.353,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 04:58:00,"flood",NA,"GEL",NA,NA,NA
"4017","456","SS","ISCO","10.0","TOC",1,7.755,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 05:13:00,"flood",NA,"GEL",NA,NA,NA
"4018","456","SS","ISCO","10.0","TOC",1,7.526,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 05:13:00,"flood",NA,"GEL",NA,NA,NA
"4019","457","SS","ISCO","11.0","TOC",1,7.697,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 05:28:00,"flood",NA,"GEL",NA,NA,NA
