"SampleID","DateTime","Site","Type","Bottle_number","Event_Date","Stage","DOC_mgL","SRP_ugL","TC_mgL","TDP_mgL","TN_mgL","ions_uM","TOC_mgL","N_DOC_mgL","N_NH4_mgNL","N_SRP_ugL","N_TC_mgL","N_TDP_mgL","N_TN_mgL","N_ions_uM","N_Chloride_mgL","N_NO3_mgNL","N_TOC_mgL","NH4N_color_mgL","Cl_color_mgL","NO3N_color_mgL"
"1049",2021-09-01 14:29:00,"RC","ISCO","3.0",2021-09-01,"flood",7.771,NA,NA,NA,1.018,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"105",2020-08-27 10:30:00,"SS","GRAB",NA,NA,"baseflow",3.173,37.2,NA,NA,0.004,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.0498,9.38,0.0416
"105",2021-08-18 20:43:00,"SS","ISCO","19.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1050",2021-09-01 14:44:00,"RC","ISCO","4.0",2021-09-01,"flood",6.839,NA,NA,NA,0.8663,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1051",2021-07-31 06:42:00,"BMW","ISCO","15.0",2021-07-31,"flood",46.94,NA,NA,NA,3.204,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1052",2021-07-31 04:12:00,"BMW","ISCO","11.0",2021-07-31,"flood",45.68,NA,NA,NA,3.482,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1053",2021-07-31 06:42:00,"BMW","ISCO","15.0",2021-07-31,"flood",46.63,NA,NA,NA,3.232,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1054",2021-07-31 04:12:00,"BMW","ISCO","11.0",2021-07-31,"flood",47.59,NA,NA,NA,3.29,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1055",2021-07-31 04:27:00,"BMW","ISCO","12.0",2021-07-31,"flood",49.36,NA,NA,NA,3.233,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1056",2021-07-25 18:50:00,"CC","ISCO","11.0",2021-07-25,"flood",9.707,NA,NA,NA,5.427,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1057",2021-07-25 18:35:00,"CC","ISCO","10.0",2021-07-25,"flood",9.572,NA,NA,NA,5.462,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1058",2021-07-25 18:35:00,"CC","ISCO","10.0",2021-07-25,"flood",8.981,NA,NA,NA,4.699,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1059",2021-07-25 17:50:00,"CC","ISCO","7.0",2021-07-25,"flood",6.898,NA,NA,NA,3.978,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"106",2020-08-31 08:45:00,"UPSS","GRAB",NA,2020-08-30,"flood",48.45,65.3,NA,NA,5.831,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.617,7.93,0.616
"106",2021-08-18 21:43:00,"SS","ISCO","20.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1060",2021-07-25 17:50:00,"CC","ISCO","7.0",2021-07-25,"flood",9.14,NA,NA,NA,5.281,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1061",2021-07-25 17:20:00,"CC","ISCO","5.0",2021-07-25,"flood",10.25,NA,NA,NA,4.799,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1062",2021-07-25 17:20:00,"CC","ISCO","5.0",2021-07-25,"flood",9.078,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1063",2021-07-25 17:05:00,"CC","ISCO","4.0",2021-07-25,"flood",6.678,NA,NA,NA,3.46,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1064",2021-07-25 17:05:00,"CC","ISCO","4.0",2021-07-25,"flood",9.813,NA,NA,NA,4.85,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1065",2021-07-25 18:50:00,"CC","ISCO","11.0",2021-07-25,"flood",9.853,NA,NA,NA,4.452,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1066",2021-07-25 21:20:00,"CC","ISCO","15.0",2021-07-25,"flood",15.95,NA,NA,NA,5.499,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1067",2021-07-25 18:05:00,"CC","ISCO","8.0",2021-07-25,"flood",7.824,NA,NA,NA,5.079,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1068",2021-07-25 18:05:00,"CC","ISCO","8.0",2021-07-25,"flood",5.841,NA,NA,NA,3.816,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1069",2021-07-25 18:20:00,"CC","ISCO","9.0",2021-07-25,"flood",9.126,NA,NA,NA,5.423,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"107",2020-08-31 08:45:00,"UPSS","GRAB",NA,2020-08-30,"flood",71.26,90.3,NA,NA,9.262,NA,NA,1,1,1,NA,NA,1,NA,1,1,NA,0.529,10.9,0.327
"107",2021-08-18 22:43:00,"SS","ISCO","21.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1070",2021-07-25 18:20:00,"CC","ISCO","9.0",2021-07-25,"flood",7.637,NA,NA,NA,3.688,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1071",2021-07-25 21:20:00,"CC","ISCO","15.0",2021-07-25,"flood",16.05,NA,NA,NA,5.09,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1072",2021-07-25 20:20:00,"CC","ISCO","14.0",2021-07-25,"flood",7.685,NA,NA,NA,4.438,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1073",2021-07-25 20:20:00,"CC","ISCO","14.0",2021-07-25,"flood",8.574,NA,NA,NA,4.154,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1074",2021-07-25 21:20:00,"CC","ISCO","16.0",2021-07-25,"flood",9.628,NA,NA,NA,4.595,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
