"","SampleID","DateTime","Site","Analyte","Type","Bottle_number","Event_Date","Stage","N","final_conc"
"115","1048",2021-09-01 14:44:00,"RC","DOC_mgL","ISCO","4.0",2021-09-01,"flood",1,7.441
"116","1048",2021-09-01 14:44:00,"RC","TN_mgL","ISCO","4.0",2021-09-01,"flood",1,0.9812
"117","1049",2021-09-01 14:29:00,"RC","DOC_mgL","ISCO","3.0",2021-09-01,"flood",1,7.771
"118","1049",2021-09-01 14:29:00,"RC","TN_mgL","ISCO","3.0",2021-09-01,"flood",1,1.018
"119","105",2020-08-27 10:30:00,"SS","DOC_mgL","GRAB",NA,NA,"baseflow",1,3.173
"120","105",2020-08-27 10:30:00,"SS","SRP_ugL","GRAB",NA,NA,"baseflow",1,37.2
"121","105",2020-08-27 10:30:00,"SS","TN_mgL","GRAB",NA,NA,"baseflow",1,0.004
"122","105",2021-08-18 20:43:00,"SS","TC_mgL","ISCO","19.0",2021-08-18,"flood",2,NA
"123","1050",2021-09-01 14:44:00,"RC","DOC_mgL","ISCO","4.0",2021-09-01,"flood",1,6.839
"124","1050",2021-09-01 14:44:00,"RC","TN_mgL","ISCO","4.0",2021-09-01,"flood",1,0.8663
"125","1051",2021-07-31 06:42:00,"BMW","DOC_mgL","ISCO","15.0",2021-07-31,"flood",1,46.94
"126","1051",2021-07-31 06:42:00,"BMW","TN_mgL","ISCO","15.0",2021-07-31,"flood",1,3.204
"127","1052",2021-07-31 04:12:00,"BMW","DOC_mgL","ISCO","11.0",2021-07-31,"flood",1,45.68
"128","1052",2021-07-31 04:12:00,"BMW","TN_mgL","ISCO","11.0",2021-07-31,"flood",1,3.482
"129","1053",2021-07-31 06:42:00,"BMW","DOC_mgL","ISCO","15.0",2021-07-31,"flood",1,46.63
"130","1053",2021-07-31 06:42:00,"BMW","TN_mgL","ISCO","15.0",2021-07-31,"flood",1,3.232
"131","1054",2021-07-31 04:12:00,"BMW","DOC_mgL","ISCO","11.0",2021-07-31,"flood",1,47.59
"132","1054",2021-07-31 04:12:00,"BMW","TN_mgL","ISCO","11.0",2021-07-31,"flood",1,3.29
"133","1055",2021-07-31 04:27:00,"BMW","DOC_mgL","ISCO","12.0",2021-07-31,"flood",1,49.36
"134","1055",2021-07-31 04:27:00,"BMW","TN_mgL","ISCO","12.0",2021-07-31,"flood",1,3.233
"135","1056",2021-07-25 18:50:00,"CC","DOC_mgL","ISCO","11.0",2021-07-25,"flood",1,9.707
"136","1056",2021-07-25 18:50:00,"CC","TN_mgL","ISCO","11.0",2021-07-25,"flood",1,5.427
"137","1057",2021-07-25 18:35:00,"CC","DOC_mgL","ISCO","10.0",2021-07-25,"flood",1,9.572
"138","1057",2021-07-25 18:35:00,"CC","TN_mgL","ISCO","10.0",2021-07-25,"flood",1,5.462
"139","1058",2021-07-25 18:35:00,"CC","DOC_mgL","ISCO","10.0",2021-07-25,"flood",1,8.981
"140","1058",2021-07-25 18:35:00,"CC","TN_mgL","ISCO","10.0",2021-07-25,"flood",1,4.699
"141","1059",2021-07-25 17:50:00,"CC","DOC_mgL","ISCO","7.0",2021-07-25,"flood",1,6.898
"142","1059",2021-07-25 17:50:00,"CC","TN_mgL","ISCO","7.0",2021-07-25,"flood",1,3.978
"143","106",2020-08-31 08:45:00,"UPSS","DOC_mgL","GRAB",NA,2020-08-30,"flood",1,48.45
"144","106",2020-08-31 08:45:00,"UPSS","SRP_ugL","GRAB",NA,2020-08-30,"flood",1,65.3
"145","106",2020-08-31 08:45:00,"UPSS","TN_mgL","GRAB",NA,2020-08-30,"flood",1,5.831
"146","106",2021-08-18 21:43:00,"SS","TC_mgL","ISCO","20.0",2021-08-18,"flood",2,NA
"147","1060",2021-07-25 17:50:00,"CC","DOC_mgL","ISCO","7.0",2021-07-25,"flood",1,9.14
"148","1060",2021-07-25 17:50:00,"CC","TN_mgL","ISCO","7.0",2021-07-25,"flood",1,5.281
"149","1061",2021-07-25 17:20:00,"CC","DOC_mgL","ISCO","5.0",2021-07-25,"flood",1,10.25
"150","1061",2021-07-25 17:20:00,"CC","TN_mgL","ISCO","5.0",2021-07-25,"flood",1,4.799
"151","1062",2021-07-25 17:20:00,"CC","DOC_mgL","ISCO","5.0",2021-07-25,"flood",1,9.078
"152","1062",2021-07-25 17:20:00,"CC","TN_mgL","ISCO","5.0",2021-07-25,"flood",1,5
"153","1063",2021-07-25 17:05:00,"CC","DOC_mgL","ISCO","4.0",2021-07-25,"flood",1,6.678
"154","1063",2021-07-25 17:05:00,"CC","TN_mgL","ISCO","4.0",2021-07-25,"flood",1,3.46
"155","1064",2021-07-25 17:05:00,"CC","DOC_mgL","ISCO","4.0",2021-07-25,"flood",1,9.813
"156","1064",2021-07-25 17:05:00,"CC","TN_mgL","ISCO","4.0",2021-07-25,"flood",1,4.85
"157","1065",2021-07-25 18:50:00,"CC","DOC_mgL","ISCO","11.0",2021-07-25,"flood",1,9.853
"158","1065",2021-07-25 18:50:00,"CC","TN_mgL","ISCO","11.0",2021-07-25,"flood",1,4.452
"159","1066",2021-07-25 21:20:00,"CC","DOC_mgL","ISCO","15.0",2021-07-25,"flood",1,15.95
"160","1066",2021-07-25 21:20:00,"CC","TN_mgL","ISCO","15.0",2021-07-25,"flood",1,5.499
"161","1067",2021-07-25 18:05:00,"CC","DOC_mgL","ISCO","8.0",2021-07-25,"flood",1,7.824
"162","1067",2021-07-25 18:05:00,"CC","TN_mgL","ISCO","8.0",2021-07-25,"flood",1,5.079
"163","1068",2021-07-25 18:05:00,"CC","DOC_mgL","ISCO","8.0",2021-07-25,"flood",1,5.841
"164","1068",2021-07-25 18:05:00,"CC","TN_mgL","ISCO","8.0",2021-07-25,"flood",1,3.816
"165","1069",2021-07-25 18:20:00,"CC","DOC_mgL","ISCO","9.0",2021-07-25,"flood",1,9.126
"166","1069",2021-07-25 18:20:00,"CC","TN_mgL","ISCO","9.0",2021-07-25,"flood",1,5.423
"167","107",2020-08-31 08:45:00,"UPSS","DOC_mgL","GRAB",NA,2020-08-30,"flood",1,71.26
"168","107",2020-08-31 08:45:00,"UPSS","SRP_ugL","GRAB",NA,2020-08-30,"flood",1,90.3
"169","107",2020-08-31 08:45:00,"UPSS","TN_mgL","GRAB",NA,2020-08-30,"flood",1,9.262
"170","107",2021-08-18 22:43:00,"SS","TC_mgL","ISCO","21.0",2021-08-18,"flood",2,NA
"171","1070",2021-07-25 18:20:00,"CC","DOC_mgL","ISCO","9.0",2021-07-25,"flood",1,7.637
"172","1070",2021-07-25 18:20:00,"CC","TN_mgL","ISCO","9.0",2021-07-25,"flood",1,3.688
"173","1071",2021-07-25 21:20:00,"CC","DOC_mgL","ISCO","15.0",2021-07-25,"flood",1,16.05
"174","1071",2021-07-25 21:20:00,"CC","TN_mgL","ISCO","15.0",2021-07-25,"flood",1,5.09
"175","1072",2021-07-25 20:20:00,"CC","DOC_mgL","ISCO","14.0",2021-07-25,"flood",1,7.685
"176","1072",2021-07-25 20:20:00,"CC","TN_mgL","ISCO","14.0",2021-07-25,"flood",1,4.438
"177","1073",2021-07-25 20:20:00,"CC","DOC_mgL","ISCO","14.0",2021-07-25,"flood",1,8.574
"178","1073",2021-07-25 20:20:00,"CC","TN_mgL","ISCO","14.0",2021-07-25,"flood",1,4.154
"179","1074",2021-07-25 21:20:00,"CC","DOC_mgL","ISCO","16.0",2021-07-25,"flood",1,9.628
"180","1074",2021-07-25 21:20:00,"CC","TN_mgL","ISCO","16.0",2021-07-25,"flood",1,4.595
"181","1075",2021-07-25 21:20:00,"CC","DOC_mgL","ISCO","16.0",2021-07-25,"flood",1,8.766
"182","1075",2021-07-25 21:20:00,"CC","TN_mgL","ISCO","16.0",2021-07-25,"flood",1,4.3
"183","1076",2021-07-26 00:20:00,"CC","DOC_mgL","ISCO","18.0",2021-07-25,"flood",1,10.41
"184","1076",2021-07-26 00:20:00,"CC","TN_mgL","ISCO","18.0",2021-07-25,"flood",1,4.708
"185","1077",2021-07-26 00:20:00,"CC","DOC_mgL","ISCO","18.0",2021-07-25,"flood",1,8.02
"186","1077",2021-07-26 00:20:00,"CC","TN_mgL","ISCO","18.0",2021-07-25,"flood",1,3.994
"187","1078",2021-07-25 19:20:00,"CC","DOC_mgL","ISCO","13.0",2021-07-25,"flood",1,7.846
"188","1078",2021-07-25 19:20:00,"CC","TN_mgL","ISCO","13.0",2021-07-25,"flood",1,4.649
"189","1079",2021-07-25 19:20:00,"CC","DOC_mgL","ISCO","13.0",2021-07-25,"flood",1,10.14
"190","1079",2021-07-25 19:20:00,"CC","TN_mgL","ISCO","13.0",2021-07-25,"flood",1,4.205
"191","108",2020-08-31 08:45:00,"UPSS","DOC_mgL","GRAB",NA,2020-08-30,"flood",1,69.77
"192","108",2020-08-31 08:45:00,"UPSS","SRP_ugL","GRAB",NA,2020-08-30,"flood",1,100
"193","108",2020-08-31 08:45:00,"UPSS","TN_mgL","GRAB",NA,2020-08-30,"flood",1,8.592
"194","108",2021-08-18 23:43:00,"SS","TC_mgL","ISCO","22.0",2021-08-18,"flood",2,NA
"195","1080",2021-07-25 23:20:00,"CC","DOC_mgL","ISCO","17.0",2021-07-25,"flood",1,9.437
"196","1080",2021-07-25 23:20:00,"CC","TN_mgL","ISCO","17.0",2021-07-25,"flood",1,3.712
"197","1081",2021-07-26 15:54:00,"RC","DOC_mgL","ISCO","11.0",2021-07-25,"flood",1,8.66
"198","1081",2021-07-26 15:54:00,"RC","TN_mgL","ISCO","11.0",2021-07-25,"flood",1,1.539
"199","1082",2021-07-26 01:20:00,"CC","DOC_mgL","ISCO","19.0",2021-07-25,"flood",1,10.75
"200","1082",2021-07-26 01:20:00,"CC","TN_mgL","ISCO","19.0",2021-07-25,"flood",1,4.855
"201","1083",2021-07-26 15:39:00,"RC","DOC_mgL","ISCO","10.0",2021-07-25,"flood",1,8.492
"202","1083",2021-07-26 15:39:00,"RC","TN_mgL","ISCO","10.0",2021-07-25,"flood",1,1.377
"203","1084",2021-07-26 15:39:00,"RC","DOC_mgL","ISCO","10.0",2021-07-25,"flood",1,9.319
"204","1084",2021-07-26 15:39:00,"RC","TN_mgL","ISCO","10.0",2021-07-25,"flood",1,1.291
"205","1085",2021-08-18 16:06:00,"RC","TOC_mgL","ISCO","5.0",2021-08-18,"flood",1,13.93
"206","1086",2021-08-18 16:51:00,"RC","TOC_mgL","ISCO","8.0",2021-08-18,"flood",1,10.25
"207","1087",2021-08-18 16:51:00,"RC","TOC_mgL","ISCO","8.0",2021-08-18,"flood",1,10.35
"208","1088",2021-08-18 16:21:00,"RC","TOC_mgL","ISCO","6.0",2021-08-18,"flood",1,12.22
"209","1089",2021-08-18 16:21:00,"RC","TOC_mgL","ISCO","6.0",2021-08-18,"flood",1,12.05
"210","109",2020-08-31 08:45:00,"UPSS","TC_mgL","GRAB",NA,2020-08-30,"flood",1,62.59
"211","109",2021-08-19 00:43:00,"SS","TC_mgL","ISCO","23.0",2021-08-18,"flood",2,NA
"212","1090",2021-08-18 21:21:00,"RC","TOC_mgL","ISCO","16.0",2021-08-18,"flood",1,13.1
"213","1091",2021-08-18 15:21:00,"RC","TOC_mgL","ISCO","2.0",2021-08-18,"flood",1,12
"214","1092",2021-08-19 01:07:00,"CC","TOC_mgL","ISCO","21.0",2021-08-18,"flood",1,9.008
"215","1093",2021-08-18 15:37:00,"CC","TOC_mgL","ISCO","7.0",2021-08-18,"flood",1,10.61
"216","1094",2021-08-18 16:07:00,"CC","TOC_mgL","ISCO","9.0",2021-08-18,"flood",1,8.84
"217","1095",2021-08-18 16:07:00,"CC","TOC_mgL","ISCO","9.0",2021-08-18,"flood",1,9.303
"218","1096",2021-08-18 15:22:00,"CC","TOC_mgL","ISCO","6.0",2021-08-18,"flood",1,26.66
"219","1097",2021-08-18 15:37:00,"CC","TOC_mgL","ISCO","7.0",2021-08-18,"flood",1,11.14
"220","1098",2021-08-18 15:52:00,"CC","TOC_mgL","ISCO","8.0",2021-08-18,"flood",1,10.71
"221","1099",2021-08-18 15:52:00,"CC","TOC_mgL","ISCO","8.0",2021-08-18,"flood",1,9.914
"222","11",2021-09-01 04:29:00,"RC","TC_mgL","ISCO","11.0",2021-09-01,"flood",2,14.185
"223","110",2020-08-31 09:45:00,"SS","DOC_mgL","GRAB",NA,2020-08-30,"flood",1,16.44
"224","110",2020-08-31 09:45:00,"SS","SRP_ugL","GRAB",NA,2020-08-30,"flood",1,246
"225","110",2020-08-31 09:45:00,"SS","TN_mgL","GRAB",NA,2020-08-30,"flood",1,1.988
"226","110",2021-08-19 01:43:00,"SS","DOC_mgL","ISCO","24.0",2021-08-18,"flood",2,10.21
"227","110",2021-08-19 01:43:00,"SS","SRP_ugL","ISCO","24.0",2021-08-18,"flood",1,159
"228","110",2021-08-19 01:43:00,"SS","TC_mgL","ISCO","24.0",2021-08-18,"flood",2,NA
"229","110",2021-08-19 01:43:00,"SS","TDP_mgL","ISCO","24.0",2021-08-18,"flood",1,0.206
"230","110",2021-08-19 01:43:00,"SS","TN_mgL","ISCO","24.0",2021-08-18,"flood",2,2.354
"231","110",2021-08-19 01:43:00,"SS","ions_uM","ISCO","24.0",2021-08-18,"flood",4,1
"232","1100",2021-08-19 02:07:00,"CC","TOC_mgL","ISCO","22.0",2021-08-18,"flood",1,9.029
"233","1101",2021-07-26 02:13:00,"MW","TOC_mgL","ISCO","21.0",2021-07-25,"flood",1,12.62
"234","1102",2021-07-26 02:13:00,"MW","TOC_mgL","ISCO","21.0",2021-07-25,"flood",1,11.92
"235","1103",2021-07-25 16:28:00,"MW","TOC_mgL","ISCO","6.0",2021-07-25,"flood",1,NA
"236","1104",2021-07-25 16:28:00,"MW","TOC_mgL","ISCO","6.0",2021-07-25,"flood",1,11.13
"237","1105",2021-08-19 01:07:00,"CC","TOC_mgL","ISCO","21.0",2021-08-18,"flood",1,9.958
"238","1106",2021-07-26 00:13:00,"MW","TOC_mgL","ISCO","19.0",2021-07-25,"flood",1,14.84
"239","1107",2021-07-25 16:58:00,"MW","TOC_mgL","ISCO","8.0",2021-07-25,"flood",1,11.26
"240","1108",2021-07-25 16:58:00,"MW","TOC_mgL","ISCO","8.0",2021-07-25,"flood",1,12.55
"241","1109",2021-07-25 16:43:00,"MW","TOC_mgL","ISCO","7.0",2021-07-25,"flood",1,11.11
"242","111",2020-08-31 09:45:00,"SS","DOC_mgL","GRAB",NA,2020-08-30,"flood",1,19.45
"243","111",2020-08-31 09:45:00,"SS","SRP_ugL","GRAB",NA,2020-08-30,"flood",1,325
"244","111",2020-08-31 09:45:00,"SS","TN_mgL","GRAB",NA,2020-08-30,"flood",1,2.109
"245","111",2021-08-16 22:29:00,"CC","DOC_mgL","ISCO","1.0",2021-08-16,"flood",2,9.4305
