Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
108,DOC_mg/L,UPSS,1,2020-08-31T08:45:00Z,69.77,1
108,NH4_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.69,1
108,NO3_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.476,1
108,SRP_ug/L,UPSS,1,2020-08-31T08:45:00Z,100,1
108,TN_mg/L,UPSS,1,2020-08-31T08:45:00Z,8.592,1
109,TC_mg/L,UPSS,1,2020-08-31T08:45:00Z,62.59,1
110,CL_mg/L,SS,1,2020-08-31T09:45:00Z,9.04,1
110,DOC_mg/L,SS,1,2020-08-31T09:45:00Z,16.44,1
110,DOC_mg/L,SS,1,2021-08-19T01:43:00Z,10.21,1
110,NH4_mg/L,SS,1,2020-08-31T09:45:00Z,0.229,1
110,NH4_mg/L,SS,1,2021-08-19T01:43:00Z,0.0544,1
110,NO3_mg/L,SS,1,2020-08-31T09:45:00Z,0.0776,1
110,SRP_ug/L,SS,1,2020-08-31T09:45:00Z,246,1
110,SRP_ug/L,SS,1,2021-08-19T01:43:00Z,159,1
110,TDP_mg/L,SS,1,2021-08-19T01:43:00Z,0.206,1
110,TN_mg/L,SS,1,2020-08-31T09:45:00Z,1.988,1
110,TN_mg/L,SS,1,2021-08-19T01:43:00Z,2.354,2
111,CL_mg/L,SS,1,2020-08-31T09:45:00Z,9.76,1
111,DOC_mg/L,CC,1,2021-08-16T22:29:00Z,9.4305,2
111,DOC_mg/L,SS,1,2020-08-31T09:45:00Z,19.45,1
111,NH4_mg/L,CC,1,2021-08-16T22:29:00Z,0.032,2
111,NH4_mg/L,SS,1,2020-08-31T09:45:00Z,0.22,1
111,NO3_mg/L,SS,1,2020-08-31T09:45:00Z,0.0624,1
111,SRP_ug/L,CC,1,2021-08-16T22:29:00Z,168,2
111,SRP_ug/L,SS,1,2020-08-31T09:45:00Z,325,1
111,TC_mg/L,CC,1,2021-08-16T22:29:00Z,29.015,2
111,TDP_mg/L,CC,1,2021-08-16T22:29:00Z,0.127,2
111,TN_mg/L,CC,1,2021-08-16T22:29:00Z,0.244,2
111,TN_mg/L,SS,1,2020-08-31T09:45:00Z,2.109,1
112,CL_mg/L,SS,1,2020-08-31T09:45:00Z,10.1,1
